"Edad (años)","Talla (cm)","Grupo sanguíneo","Rh"
19,165,"A","Negativo"
32,174,"A","Positivo"
32,165,"O","Positivo"
43,170,"A","Positivo"
35,157,"O","Positivo"
34,157,"O","Negativo"
27,167,"A","Positivo"
33,159,"O","Positivo"
28,161,"O","Positivo"
30,171,"O","Negativo"
30,150,"A","Positivo"
42,165,"O","Positivo"
30,165,"O","Positivo"
28,158,"O","Positivo"
25,164,"A","Positivo"
34,161,"A","Positivo"
30,157,"O","Positivo"
36,180,"A","Positivo"
27,166,"B","Positivo"
36,168,"O","Positivo"
34,152,"O","Positivo"
36,174,"O","Positivo"
33,168,"B","Positivo"
36,160,"A","Positivo"
34,167,"AB","Positivo"
33,163,"A","Positivo"
20,156,"A","Positivo"
24,165,"O","Positivo"
36,154,"A","Positivo"
31,156,"O","Positivo"
31,164,"A","Positivo"
34,157,"O","Positivo"
30,155,"B","Positivo"
32,160,"A","Positivo"
30,162,"O","Positivo"
25,160,"AB","Positivo"
40,162,"A","Negativo"
29,156,"O","Positivo"
33,170,"A","Positivo"
27,168,"A","Positivo"
18,157,"B","Negativo"
29,160,"O","Positivo"
28,165,"O","Positivo"
44,176,"A","Positivo"
40,166,"O","Positivo"
32,167,"A","Positivo"
23,180,"A","Positivo"
29,159,"A","Negativo"
30,165,"A","Positivo"
35,158,"O","Positivo"
25,162,"O","Positivo"
23,160,"A","Positivo"
26,163,"A","Positivo"
36,154,"B","Positivo"
27,172,"O","Positivo"
26,160,"O","Positivo"
31,167,"O","Positivo"
39,163,"A","Negativo"
34,180,"O","Positivo"
19,155,"O","Positivo"
33,160,"A","Positivo"
34,165,"O","Positivo"
35,173,"O","Positivo"
38,160,"A","Positivo"
41,161,"A","Positivo"
22,150,"A","Positivo"
35,167,"O","Positivo"
45,176,"AB","Positivo"
40,171,"O","Positivo"
35,159,"O","Negativo"
29,150,"A","Positivo"
36,159,"A","Positivo"
33,162,"B","Positivo"
35,170,"A","Positivo"
38,168,"A","Negativo"
39,169,"A","Positivo"
32,162,"A","Negativo"
25,170,"O","Positivo"
31,158,"AB","Positivo"
20,167,"A","Positivo"
34,160,"A","Negativo"
19,160,"O","Positivo"
36,155,"O","Positivo"
32,160,"O","Positivo"
31,156,"A","Positivo"
38,165,"O","Positivo"
40,151,"B","Positivo"
27,158,"O","Positivo"
34,168,"B","Positivo"
27,160,"O","Positivo"
28,160,"O","Positivo"
22,153,"B","Negativo"
35,165,"AB","Positivo"
34,177,"O","Positivo"
31,167,"A","Positivo"
26,160,"A","Positivo"
28,165,"B","Positivo"
23,152,"A","Positivo"
38,155,"A","Positivo"
32,167,"O","Negativo"
42,161,"O","Positivo"
26,160,"A","Positivo"
37,167,"A","Negativo"
21,172,"O","Positivo"
34,175,"O","Positivo"
41,167,"O","Positivo"
33,159,"A","Positivo"
31,166,"A","Positivo"
28,153,"O","Positivo"
31,160,"A","Positivo"
28,155,"O","Positivo"
35,156,"O","Positivo"
36,169,"A","Positivo"
29,158,"O","Positivo"
47,163,"A","Positivo"
30,168,"O","Positivo"
31,157,"O","Negativo"
38,165,"A","Positivo"
24,156,"O","Positivo"
33,155,"B","Positivo"
19,171,"B","Positivo"
35,166,"A","Negativo"
45,159,"A","Positivo"
39,171,"B","Positivo"
33,166,"O","Positivo"
27,161,"AB","Positivo"
34,152,"B","Positivo"
20,159,"O","Positivo"
37,170,"A","Positivo"
37,159,"A","Positivo"
25,154,"B","Positivo"
28,161,"O","Positivo"
31,165,"A","Negativo"
25,169,"O","Positivo"
37,171,"O","Negativo"
37,167,"O","Positivo"
33,163,"B","Positivo"
40,169,"A","Positivo"
40,158,"B","Positivo"
33,160,"O","Positivo"
37,163,"A","Positivo"
